Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,,,,,,,
Apple Inc.,AAPL,03783310,2046251,6.495123,Information Technology,166943220.00,USD,,,,,,,,,,
Microsoft Corporation,MSFT,59491810,2588173,5.808424,Information Technology,80727180,USD,,,,,,,,,,
Amazon.com Inc.,AMZN,02313510,2000019,2.833635,Consumer Discretionary,4713761,USD,,,,,,,,,,
Alphabet Inc. Class A,GOOGL,02079K30,BYVY8G0,1.889667,Communication Services,3239266,USD,,,,,,,,,,
Alphabet Inc. Class C,GOOG,02079K10,BYY88Y7,1.753381,Communication Services,2991670,USD,,,,,,,,,,
Tesla Inc,TSLA,88160R10,B616C79,1.726711,Consumer Discretionary,9016374,USD,,,,,,,,,,
Berkshire Hathaway Inc. Class B,BRK.B,08467070,2073390,1.667980,Financials,19725160,USD,,,,,,,,,,
UnitedHealth Group Incorporated,UNH,91324P10,2917766,1.379069,Health Care,10147592,USD,,,,,,,,,,
Johnson & Johnson,JNJ,47816010,2475833,1.377359,Health Care,28363458,USD,,,,,,,,,,
NVIDIA Corporation,NVDA,67066G10,2379504,1.300636,Information Technology,26926070,USD,,,,,,,,,,
Meta Platforms Inc. Class A,FB,30303M10,B7TL820,1.290029,Communication Services,24878024,USD,,,,,,,,,,
Exxon Mobil Corporation,XOM,30231G10,2326618,1.192272,Energy,45593012,USD,,,,,,,,,,
JPMorgan Chase & Co.,JPM,46625H10,2190385,1.114748,Financials,31826432,USD,,,,,,,,,,
Procter & Gamble Company,PG,74271810,2704407,1.023224,Consumer Staples,25815018,USD,,,,,,,,,,
Visa Inc. Class A,V,92826C83,B2PZN04,1.007904,Information Technology,17860294,USD,,,,,,,,,,
Chevron Corporation,CVX,16676410,2838555,0.992613,Energy,20772740,USD,,,,,,,,,,
Home Depot Inc.,HD,43707610,2434209,0.922033,Consumer Discretionary,11252684,USD,,,,,,,,,,
Pfizer Inc.,PFE,71708110,2684703,0.883648,Health Care,60484756,USD,,,,,,,,,,
Mastercard Incorporated Class A,MA,57636Q10,B121557,0.880551,Information Technology,9300427,USD,,,,,,,,,,
AbbVie Inc.,ABBV,00287Y10,B92SR70,0.776197,Health Care,19050814,USD,,,,,,,,,,
Bank of America Corp,BAC,06050510,2295677,0.760092,Financials,76601150,USD,,,,,,,,,,
Coca-Cola Company,KO,19121610,2206657,0.728885,Consumer Staples,41891684,USD,,,,,,,,,,
Eli Lilly and Company,LLY,53245710,2516152,0.725725,Health Care,8555984,USD,,,,,,,,,,
PepsiCo Inc.,PEP,71344810,2681511,0.686234,Consumer Staples,14908089,USD,,,,,,,,,,
Merck & Co. Inc.,MRK,58933Y10,2778844,0.679914,Health Care,27219804,USD,,,,,,,,,,
Broadcom Inc.,AVGO,11135F10,BDZ78H9,0.662954,Information Technology,4449180,USD,,,,,,,,,,
Verizon Communications Inc.,VZ,92343V10,2090571,0.624175,Communication Services,45237796,USD,,,,,,,,,,
Thermo Fisher Scientific Inc.,TMO,88355610,2886907,0.620604,Health Care,4246316,USD,,,,,,,,,,
Costco Wholesale Corporation,COST,22160K10,2701271,0.601242,Consumer Staples,4778436,USD,,,,,,,,,,
Abbott Laboratories,ABT,00282410,2002305,0.592291,Health Care,19054960,USD,,,,,,,,,,
Comcast Corporation Class A,CMCSA,20030N10,2044545,0.582124,Communication Services,48748520,USD,,,,,,,,,,
Adobe Inc.,ADBE,00724F10,2008154,0.562020,Information Technology,5083157,USD,,,,,,,,,,
Walt Disney Company,DIS,25468710,2270726,0.560669,Communication Services,19619212,USD,,,,,,,,,,
Cisco Systems Inc.,CSCO,17275R10,2198163,0.553303,Information Technology,45449292,USD,,,,,,,,,,
McDonald's Corporation,MCD,58013510,2550707,0.540565,Consumer Discretionary,8052266,USD,,,,,,,,,,
Accenture Plc Class A,ACN,G1151C10,B4BNMY3,0.537286,Information Technology,6810395,USD,,,,,,,,,,
Walmart Inc.,WMT,93114210,2936921,0.519769,Consumer Staples,15244727,USD,,,,,,,,,,
Wells Fargo & Company,WFC,94974610,2649100,0.516683,Financials,41873520,USD,,,,,,,,,,
Intel Corporation,INTC,45814010,2463247,0.516269,Information Technology,43879960,USD,,,,,,,,,,
Bristol-Myers Squibb Company,BMY,11012210,2126335,0.493160,Health Care,23488870,USD,,,,,,,,,,
Philip Morris International Inc.,PM,71817210,B2PKRQ3,0.488572,Consumer Staples,16707178,USD,,,,,,,,,,
Linde plc,LIN,G5494J10,BZ12WP8,0.478763,Materials,5523354,USD,,,,,,,,,,
Advanced Micro Devices Inc.,AMD,00790310,2007849,0.470743,Information Technology,17616792,USD,,,,,,,,,,
Texas Instruments Incorporated,TXN,88250810,2885409,0.468934,Information Technology,9952172,USD,,,,,,,,,,
Danaher Corporation,DHR,23585110,2250870,0.467070,Health Care,6857433,USD,,,,,,,,,,
Salesforce Inc.,CRM,79466L30,2310525,0.466615,Information Technology,10614323,USD,,,,,,,,,,
AT&T Inc.,T,00206R10,2831811,0.443942,Communication Services,76951864,USD,,,,,,,,,,
Qualcomm Incorporated,QCOM,74752510,2714923,0.443121,Information Technology,12144602,USD,,,,,,,,,,
ConocoPhillips,COP,20825C10,2685717,0.429660,Energy,14032991,USD,,,,,,,,,,
NextEra Energy Inc.,NEE,65339F10,2328915,0.429341,Utilities,21144106,USD,,,,,,,,,,
NIKE Inc. Class B,NKE,65410610,2640147,0.420316,Consumer Discretionary,13753345,USD,,,,,,,,,,
Amgen Inc.,AMGN,03116210,2023607,0.414748,Health Care,6057009,USD,,,,,,,,,,
Raytheon Technologies Corporation,RTX,75513E10,BM5M5Y3,0.413747,Industrials,16095014,USD,,,,,,,,,,
Union Pacific Corporation,UNP,90781810,2914734,0.410964,Industrials,6863128,USD,,,,,,,,,,
Medtronic Plc,MDT,G5960L10,BTN1Y11,0.389474,Health Care,14474280,USD,,,,,,,,,,
Honeywell International Inc.,HON,43851610,2020459,0.385971,Industrials,7386728,USD,,,,,,,,,,
Lowe's Companies Inc.,LOW,54866110,2536763,0.384142,Consumer Discretionary,7260360,USD,,,,,,,,,,
United Parcel Service Inc. Class B,UPS,91131210,2517382,0.379267,Industrials,7857390,USD,,,,,,,,,,
CVS Health Corporation,CVS,12665010,2577609,0.374538,Health Care,14152605,USD,,,,,,,,,,
S&P Global Inc.,SPGI,78409V10,BYV2325,0.363548,Financials,3811701,USD,,,,,,,,,,
Anthem Inc.,ANTM,03675210,BSPHGL4,0.361907,Health Care,2610008,USD,,,,,,,,,,
International Business Machines Corporation,IBM,45920010,2005973,0.357972,Information Technology,9664007,USD,,,,,,,,,,
Morgan Stanley,MS,61744644,2262314,0.351359,Financials,15276072,USD,,,,,,,,,,
American Tower Corporation,AMT,03027X10,B7FBFL2,0.338210,Real Estate,4907435,USD,,,,,,,,,,
Intuit Inc.,INTU,46120210,2459020,0.335588,Information Technology,3051483,USD,,,,,,,,,,
Caterpillar Inc.,CAT,14912310,2180201,0.335307,Industrials,5817862,USD,,,,,,,,,,
Oracle Corporation,ORCL,68389X10,2661568,0.329228,Information Technology,16978504,USD,,,,,,,,,,
Goldman Sachs Group Inc.,GS,38141G10,2407966,0.319717,Financials,3650878,USD,,,,,,,,,,
Lockheed Martin Corporation,LMT,53983010,2522096,0.316612,Industrials,2611795,USD,,,,,,,,,,
Citigroup Inc.,C,17296742,2297907,0.312336,Financials,21339520,USD,,,,,,,,,,
Charles Schwab Corp,SCHW,80851310,2779397,0.301114,Financials,16169503,USD,,,,,,,,,,
Applied Materials Inc.,AMAT,03822210,2046552,0.297952,Information Technology,9568958,USD,,,,,,,,,,
American Express Company,AXP,02581610,2026082,0.296591,Financials,6627980,USD,,,,,,,,,,
Altria Group Inc,MO,02209S10,2692632,0.289705,Consumer Staples,19644442,USD,,,,,,,,,,
Deere & Company,DE,24419910,2261203,0.284177,Industrials,3022046,USD,,,,,,,,,,
PayPal Holdings Inc.,PYPL,70450Y10,BYW36M8,0.273196,Information Technology,12554230,USD,,,,,,,,,,
BlackRock Inc.,BLK,09247X10,2494504,0.270777,Financials,1533738,USD,,,,,,,,,,
Automatic Data Processing Inc.,ADP,05301510,2065308,0.267312,Information Technology,4525682,USD,,,,,,,,,,
Booking Holdings Inc.,BKNG,09857L10,BDRXDB4,0.265999,Consumer Discretionary,442498,USD,,,,,,,,,,
ServiceNow Inc.,NOW,81762P10,B80NXX8,0.265282,Information Technology,2155262,USD,,,,,,,,,,
Prologis Inc.,PLD,74340W10,B44WZD7,0.264031,Real Estate,7974363,USD,,,,,,,,,,
Chubb Limited,CB,H1467J10,B3BQMF6,0.260367,Financials,4632644,USD,,,,,,,,,,
Cigna Corporation,CI,12552310,BHJ0775,0.253204,Health Care,3480097,USD,,,,,,,,,,
Duke Energy Corporation,DUK,26441C20,B7VD3F2,0.253071,Utilities,8259638,USD,,,,,,,,,,
Mondelez International Inc. Class A,MDLZ,60920710,B8CKK03,0.252891,Consumer Staples,14953175,USD,,,,,,,,,,
Analog Devices Inc.,ADI,03265410,2032067,0.251222,Information Technology,5661017,USD,,,,,,,,,,
Starbucks Corporation,SBUX,85524410,2842255,0.249853,Consumer Discretionary,12395580,USD,,,,,,,,,,
Netflix Inc.,NFLX,64110L10,2857817,0.247772,Communication Services,4783989,USD,,,,,,,,,,
General Electric Company,GE,36960430,BL59CR9,0.246859,Industrials,11846289,USD,,,,,,,,,,
3M Company,MMM,88579Y10,2595708,0.244864,Industrials,6154178,USD,,,,,,,,,,
Gilead Sciences Inc.,GILD,37555810,2369174,0.235813,Health Care,13517312,USD,,,,,,,,,,
Crown Castle International Corp,CCI,22822V10,BTGQCX1,0.235487,Real Estate,4640628,USD,,,,,,,,,,
Intuitive Surgical Inc.,ISRG,46120E60,2871301,0.232939,Health Care,3855075,USD,,,,,,,,,,
Southern Company,SO,84258710,2829601,0.232673,Utilities,11420593,USD,,,,,,,,,,
Marsh & McLennan Companies Inc.,MMC,57174810,2567741,0.231227,Financials,5439643,USD,,,,,,,,,,
Stryker Corporation,SYK,86366710,2853688,0.230011,Health Care,3618019,USD,,,,,,,,,,
Micron Technology Inc.,MU,59511210,2588184,0.229800,Information Technology,12028854,USD,,,,,,,,,,
Zoetis Inc. Class A,ZTS,98978V10,B95WG16,0.228447,Health Care,5088840,USD,,,,,,,,,,
EOG Resources Inc.,EOG,26875P10,2318024,0.228140,Energy,6305010,USD,,,,,,,,,,
Target Corporation,TGT,87612E10,2259101,0.228004,Consumer Discretionary,5163004,USD,,,,,,,,,,
T-Mobile US Inc.,TMUS,87259010,B94Q9V0,0.227259,Communication Services,6327005,USD,,,,,,,,,,
TJX Companies Inc,TJX,87254010,2989301,0.223000,Consumer Discretionary,12854596,USD,,,,,,,,,,
Regeneron Pharmaceuticals Inc.,REGN,75886F10,2730190,0.212683,Health Care,1150036,USD,,,,,,,,,,
PNC Financial Services Group Inc.,PNC,69347510,2692665,0.211777,Financials,4525204,USD,,,,,,,,,,
Becton Dickinson and Company,BDX,07588710,2087807,0.209641,Health Care,3068283,USD,,,,,,,,,,
Lam Research Corporation,LRCX,51280710,2502247,0.207124,Information Technology,1503187,USD,,,,,,,,,,
CME Group Inc. Class A,CME,12572Q10,2965839,0.206361,Financials,3872931,USD,,,,,,,,,,
U.S. Bancorp,USB,90297330,2736035,0.205318,Financials,14552444,USD,,,,,,,,,,
Boeing Company,BA,09702310,2108601,0.204424,Industrials,5914499,USD,,,,,,,,,,
CSX Corporation,CSX,12640810,2160753,0.203833,Industrials,23852972,USD,,,,,,,,,,
Northrop Grumman Corporation,NOC,66680710,2648806,0.199980,Industrials,1581069,USD,,,,,,,,,,
Dominion Energy Inc,D,25746U10,2542049,0.199769,Utilities,8728516,USD,,,,,,,,,,
Vertex Pharmaceuticals Incorporated,VRTX,92532F10,2931034,0.199495,Health Care,2734075,USD,,,,,,,,,,
Progressive Corporation,PGR,74331510,2705024,0.198573,Financials,6282312,USD,,,,,,,,,,
Colgate-Palmolive Company,CL,19416210,2209106,0.191535,Consumer Staples,9056156,USD,,,,,,,,,,
Schlumberger NV,SLB,80685710,2779201,0.191060,Energy,15122567,USD,,,,,,,,,,
Sherwin-Williams Company,SHW,82434810,2804211,0.190704,Materials,2591309,USD,,,,,,,,,,
Truist Financial Corporation,TFC,89832Q10,BKP7287,0.187733,Financials,14331262,USD,,,,,,,,,,
Fidelity National Information Services Inc.,FIS,31620M10,2769796,0.184661,Information Technology,6549177,USD,,,,,,,,,,
Pioneer Natural Resources Company,PXD,72378710,2690830,0.184520,Energy,2435456,USD,,,,,,,,,,
Edwards Lifesciences Corporation,EW,28176E10,2567116,0.179451,Health Care,6727935,USD,,,,,,,,,,
Activision Blizzard Inc.,ATVI,00507V10,2575818,0.177170,Communication Services,8395193,USD,,,,,,,,,,
Occidental Petroleum Corporation,OXY,67459910,2655408,0.176947,Energy,9524016,USD,,,,,,,,,,
Waste Management Inc.,WM,94106L10,2937667,0.176922,Industrials,4138391,USD,,,,,,,,,,
Equinix Inc.,EQIX,29444U70,BVLZX12,0.175915,Real Estate,970304,USD,,,,,,,,,,
Charter Communications Inc. Class A,CHTR,16119P10,BZ6VT82,0.174767,Communication Services,1284426,USD,,,,,,,,,,
Fiserv Inc.,FISV,33773810,2342034,0.171922,Information Technology,6398922,USD,,,,,,,,,,
Aon Plc Class A,AON,G0403H10,BLP1HW5,0.170833,Financials,2314741,USD,,,,,,,,,,
Illinois Tool Works Inc.,ITW,45230810,2457552,0.170153,Industrials,3077421,USD,,,,,,,,,,
Humana Inc.,HUM,44485910,2445063,0.168765,Health Care,1379156,USD,,,,,,,,,,
Marathon Petroleum Corporation,MPC,56585A10,B3K3L40,0.167957,Energy,6239375,USD,,,,,,,,,,
Boston Scientific Corporation,BSX,10113710,2113434,0.166044,Health Care,15287164,USD,,,,,,,,,,
Norfolk Southern Corporation,NSC,65584410,2641894,0.165495,Industrials,2583843,USD,,,,,,,,,,
Freeport-McMoRan Inc.,FCX,35671D85,2352118,0.164206,Materials,15766025,USD,,,,,,,,,,
Estee Lauder Companies Inc. Class A,EL,51843910,2320524,0.162928,Consumer Staples,2504610,USD,,,,,,,,,,
Intercontinental Exchange Inc.,ICE,45866F10,BFSSDS9,0.162835,Financials,6046079,USD,,,,,,,,,,
Newmont Corporation,NEM,65163910,2636607,0.159530,Materials,8580281,USD,,,,,,,,,,
Eaton Corp. Plc,ETN,G2918310,B8KQN82,0.157828,Industrials,4279874,USD,,,,,,,,,,
General Motors Company,GM,37045V10,B665KZ5,0.157820,Consumer Discretionary,15586079,USD,,,,,,,,,,
Air Products and Chemicals Inc.,APD,00915810,2011602,0.155962,Materials,2376870,USD,,,,,,,,,,
KLA Corporation,KLAC,48248010,2480138,0.155607,Information Technology,1627759,USD,,,,,,,,,,
Sempra Energy,SRE,81685110,2138158,0.153505,Utilities,3441227,USD,,,,,,,,,,
Valero Energy Corporation,VLO,91913Y10,2041364,0.152175,Energy,4389409,USD,,,,,,,,,,
FedEx Corporation,FDX,31428X10,2142784,0.150970,Industrials,2628099,USD,,,,,,,,,,
American Electric Power Company Inc.,AEP,02553710,2026242,0.150653,Utilities,5427440,USD,,,,,,,,,,
Ford Motor Company,F,34537086,2615468,0.150481,Consumer Discretionary,42386570,USD,,,,,,,,,,
Dollar General Corporation,DG,25667710,B5B1S13,0.150473,Consumer Discretionary,2503412,USD,,,,,,,,,,
Emerson Electric Co.,EMR,29101110,2313405,0.150395,Industrials,6417940,USD,,,,,,,,,,
Capital One Financial Corp,COF,14040H10,2654461,0.150154,Financials,4460268,USD,,,,,,,,,,
NXP Semiconductors NV,NXPI,N6596X10,B505PN7,0.149379,Information Technology,2865788,USD,,,,,,,,,,
General Dynamics Corporation,GD,36955010,2365161,0.148384,Industrials,2478360,USD,,,,,,,,,,
HCA Healthcare Inc,HCA,40412C10,B4MGBG6,0.147593,Health Care,2575373,USD,,,,,,,,,,
McKesson Corporation,MCK,58155Q10,2378534,0.146946,Health Care,1614195,USD,,,,,,,,,,
Dow Inc.,DOW,26055710,BHXCF84,0.145998,Materials,7953175,USD,,,,,,,,,,
Public Storage,PSA,74460D10,2852533,0.144272,Real Estate,1635983,USD,,,,,,,,,,
Archer-Daniels-Midland Company,ADM,03948310,2047317,0.143508,Consumer Staples,6005455,USD,,,,,,,,,,
Moody's Corporation,MCO,61536910,2252058,0.140883,Financials,1738715,USD,,,,,,,,,,
Exelon Corporation,EXC,30161N10,2670519,0.139654,Utilities,10498354,USD,,,,,,,,,,
American International Group Inc.,AIG,02687478,2027342,0.139485,Financials,8929061,USD,,,,,,,,,,
Moderna Inc.,MRNA,60770K10,BGSXTS3,0.139421,Health Care,3794097,USD,,,,,,,,,,
Centene Corporation,CNC,15135B10,2807061,0.138709,Health Care,6259679,USD,,,,,,,,,,
Synopsys Inc.,SNPS,87160710,2867719,0.136957,Information Technology,1653490,USD,,,,,,,,,,
MetLife Inc.,MET,59156R10,2573209,0.136902,Financials,7561331,USD,,,,,,,,,,
Marriott International Inc. Class A,MAR,57190320,2210614,0.135253,Consumer Discretionary,2937266,USD,,,,,,,,,,
L3Harris Technologies Inc,LHX,50243110,BK9DTN5,0.135227,Industrials,2110472,USD,,,,,,,,,,
Devon Energy Corporation,DVN,25179M10,2480677,0.135008,Energy,6759670,USD,,,,,,,,,,
Corteva Inc,CTVA,22052L10,BK73B42,0.134418,Materials,7863708,USD,,,,,,,,,,
Phillips 66,PSX,71854610,B78C4Y8,0.134312,Energy,5029954,USD,,,,,,,,,,
Roper Technologies Inc.,ROP,77669610,2749602,0.132478,Information Technology,1131928,USD,,,,,,,,,,
Williams Companies Inc.,WMB,96945710,2967181,0.130315,Energy,13044030,USD,,,,,,,,,,
Kimberly-Clark Corporation,KMB,49436810,2491839,0.129550,Consumer Staples,3615747,USD,,,,,,,,,,
O'Reilly Automotive Inc.,ORLY,67103H10,B65LWX6,0.125304,Consumer Discretionary,724506,USD,,,,,,,,,,
Sysco Corporation,SYY,87182910,2868165,0.123097,Consumer Staples,5491460,USD,,,,,,,,,,
Travelers Companies Inc.,TRV,89417E10,2769503,0.122992,Financials,2599210,USD,,,,,,,,,,
Autodesk Inc.,ADSK,05276910,2065159,0.122494,Information Technology,2362285,USD,,,,,,,,,,
General Mills Inc.,GIS,37033410,2367026,0.122333,Consumer Staples,6508610,USD,,,,,,,,,,
AutoZone Inc.,AZO,05333210,2065955,0.122094,Consumer Discretionary,222382,USD,,,,,,,,,,
Amphenol Corporation Class A,APH,03209510,2145084,0.121516,Information Technology,6422593,USD,,,,,,,,,,
Cadence Design Systems Inc.,CDNS,12738710,2302232,0.119521,Information Technology,2970992,USD,,,,,,,,,,
TE Connectivity Ltd.,TEL,H8498910,B62B7C3,0.118967,Information Technology,3521712,USD,,,,,,,,,,
Ecolab Inc.,ECL,27886510,2304227,0.118718,Materials,2671928,USD,,,,,,,,,,
Xcel Energy Inc.,XEL,98389B10,2614807,0.117253,Utilities,5780598,USD,,,,,,,,,,
Constellation Brands Inc. Class A,STZ,21036P10,2170473,0.116798,Consumer Staples,1766309,USD,,,,,,,,,,
HP Inc.,HPQ,40434L10,BYX4D52,0.116090,Information Technology,11667553,USD,,,,,,,,,,
Fortinet Inc.,FTNT,34959E10,B5B2106,0.115913,Information Technology,1455530,USD,,,,,,,,,,
Warner Bros. Discovery Inc. Series A,WBD,93442310,BM8JYX3,0.115689,Communication Services,23778288,USD,,,,,,,,,,
IQVIA Holdings Inc,IQV,46266C10,BDR73G1,0.115625,Health Care,2056995,USD,,,,,,,,,,
Prudential Financial Inc.,PRU,74432010,2819118,0.115021,Financials,4065297,USD,,,,,,,,,,
Electronic Arts Inc.,EA,28551210,2310194,0.114291,Communication Services,3045647,USD,,,,,,,,,,
Digital Realty Trust Inc.,DLR,25386810,B03GQS4,0.113195,Real Estate,3058112,USD,,,,,,,,,,
Microchip Technology Incorporated,MCHP,59501710,2592174,0.113146,Information Technology,5968293,USD,,,,,,,,,,
Paychex Inc.,PAYX,70432610,2674458,0.112754,Information Technology,3438023,USD,,,,,,,,,,
Welltower Inc,WELL,95040Q10,BYVYHH4,0.112228,Real Estate,4682163,USD,,,,,,,,,,
Hilton Worldwide Holdings Inc,HLT,43300A20,BYVMW06,0.112113,Consumer Discretionary,2992126,USD,,,,,,,,,,
Realty Income Corporation,O,75610910,2724193,0.112093,Real Estate,6085578,USD,,,,,,,,,,
Kinder Morgan Inc Class P,KMI,49456B10,B3NQ4P8,0.111101,Energy,20926680,USD,,,,,,,,,,
Cognizant Technology Solutions Corporation Class A,CTSH,19244610,2257019,0.111070,Information Technology,5642934,USD,,,,,,,,,,
Illumina Inc.,ILMN,45232710,2613990,0.110823,Health Care,1681464,USD,,,,,,,,,,
Baxter International Inc.,BAX,07181310,2085102,0.109990,Health Care,5366004,USD,,,,,,,,,,
Johnson Controls International plc,JCI,G5150210,BY7QL61,0.109805,Industrials,7570720,USD,,,,,,,,,,
Allstate Corporation,ALL,02000210,2019952,0.109389,Financials,3023804,USD,,,,,,,,,,
Chipotle Mexican Grill Inc.,CMG,16965610,B0X7DZ3,0.109253,Consumer Discretionary,301103,USD,,,,,,,,,,
Agilent Technologies Inc.,A,00846U10,2520153,0.108899,Health Care,3249438,USD,,,,,,,,,,
SBA Communications Corp. Class A,SBAC,78410G10,BZ6TS23,0.107729,Real Estate,1176296,USD,,,,,,,,,,
Motorola Solutions Inc.,MSI,62007630,B5BKPQ4,0.107186,Information Technology,1818034,USD,,,,,,,,,,
Simon Property Group Inc.,SPG,82880610,2812452,0.106962,Real Estate,3528382,USD,,,,,,,,,,
Global Payments Inc.,GPN,37940X10,2712013,0.106820,Information Technology,3068487,USD,,,,,,,,,,
Dollar Tree Inc.,DLTR,25674610,2272476,0.106552,Consumer Discretionary,2418718,USD,,,,,,,,,,
Nucor Corporation,NUE,67034610,2651086,0.105542,Materials,2931055,USD,,,,,,,,,,
Halliburton Company,HAL,40621610,2405302,0.105228,Energy,9683150,USD,,,,,,,,,,
Aflac Incorporated,AFL,00105510,2026361,0.103413,Financials,6464277,USD,,,,,,,,,,
Consolidated Edison Inc.,ED,20911510,2216850,0.102819,Utilities,3804669,USD,,,,,,,,,,
MSCI Inc. Class A,MSCI,55354G10,B2972D2,0.102537,Financials,875572,USD,,,,,,,,,,
Kroger Co.,KR,50104410,2497406,0.101714,Consumer Staples,7209209,USD,,,,,,,,,,
DuPont de Nemours Inc.,DD,26614N10,BK0VN47,0.101243,Materials,5553620,USD,,,,,,,,,,
Parker-Hannifin Corporation,PH,70109410,2671501,0.100492,Industrials,1385669,USD,,,,,,,,,,
Public Service Enterprise Group Inc,PEG,74457310,2707677,0.099858,Utilities,5428496,USD,,,,,,,,,,
Yum! Brands Inc.,YUM,98849810,2098876,0.099230,Consumer Discretionary,3114058,USD,,,,,,,,,,
Cintas Corporation,CTAS,17290810,2197137,0.098583,Industrials,950159,USD,,,,,,,,,,
Bank of New York Mellon Corp,BK,06405810,B1Z77F6,0.098502,Financials,7972377,USD,,,,,,,,,,
Carrier Global Corp.,CARR,14448C10,BK4N0D7,0.098104,Industrials,9218121,USD,,,,,,,,,,
Baker Hughes Company Class A,BKR,05722G10,BDHLTQ5,0.097977,Energy,9759538,USD,,,,,,,,,,
Arthur J. Gallagher & Co.,AJG,36357610,2359506,0.097874,Financials,2246301,USD,,,,,,,,,,
Monster Beverage Corporation,MNST,61174X10,BZ07BW4,0.097200,Consumer Staples,4048340,USD,,,,,,,,,,
International Flavors & Fragrances Inc.,IFF,45950610,2464165,0.097046,Materials,2737709,USD,,,,,,,,,,
WEC Energy Group Inc,WEC,92939U10,BYY8XK8,0.096578,Utilities,3386245,USD,,,,,,,,,,
Hess Corporation,HES,42809H10,2023748,0.096506,Energy,2955541,USD,,,,,,,,,,
