Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,,,,,,,,,,
IDEXX Laboratories Inc.,IDXX,45168D10,2459202,0.095144,Health Care,913465,USD,,,,,,,,,,
Trane Technologies plc,TT,G8994E10,BK9ZQ96,0.093149,Industrials,2516183,USD,,,,,,,,,,
Otis Worldwide Corporation,OTIS,68902V10,BK531S8,0.093093,Industrials,4582203,USD,,,,,,,,,,
Discover Financial Services,DFS,25470910,B1YLC43,0.093018,Financials,3103030,USD,,,,,,,,,,
M&T Bank Corporation,MTB,55261F10,2340168,0.092581,Financials,1924819,USD,,,,,,,,,,
TransDigm Group Incorporated,TDG,89364110,B11FJK3,0.092146,Industrials,567789,USD,,,,,,,,,,
Eversource Energy,ES,30040W10,BVVN4Q8,0.092041,Utilities,3689585,USD,,,,,,,,,,
Twitter Inc.,TWTR,90184L10,BFLR866,0.091609,Communication Services,8566427,USD,,,,,,,,,,
Ross Stores Inc.,ROST,77829610,2746711,0.090015,Consumer Discretionary,3824046,USD,,,,,,,,,,
Walgreens Boots Alliance Inc,WBA,93142710,BTN1Y44,0.089758,Consumer Staples,7706960,USD,,,,,,,,,,
Ameriprise Financial Inc.,AMP,03076C10,B0J7D57,0.089071,Financials,1199898,USD,,,,,,,,,,
Hershey Company,HSY,42786610,2422806,0.088499,Consumer Staples,1560810,USD,,,,,,,,,,
Fastenal Company,FAST,31190010,2332262,0.087694,Industrials,6170560,USD,,,,,,,,,,
Biogen Inc.,BIIB,09062X10,2455965,0.087265,Health Care,1579142,USD,,,,,,,,,,
PPG Industries Inc.,PPG,69350610,2698470,0.087082,Materials,2548020,USD,,,,,,,,,,
Albemarle Corporation,ALB,01265310,2046853,0.086659,Materials,1255645,USD,,,,,,,,,,
ResMed Inc.,RMD,76115210,2732903,0.086160,Health Care,1575812,USD,,,,,,,,,,
LyondellBasell Industries NV,LYB,N5374510,B3SPXZ3,0.085478,Materials,2833078,USD,,,,,,,,,,
T. Rowe Price Group,TROW,74144T10,2702337,0.085367,Financials,2469880,USD,,,,,,,,,,
ONEOK Inc.,OKE,68268010,2130109,0.085228,Energy,4785271,USD,,,,,,,,,,
Cummins Inc.,CMI,23102110,2240202,0.084911,Industrials,1541612,USD,,,,,,,,,,
PACCAR Inc,PCAR,69371810,2665861,0.084871,Industrials,3727650,USD,,,,,,,,,,
Weyerhaeuser Company,WY,96216610,2958936,0.084808,Real Estate,8048580,USD,,,,,,,,,,
eBay Inc.,EBAY,27864210,2293819,0.084624,Consumer Discretionary,6729797,USD,,,,,,,,,,
Mettler-Toledo International Inc.,MTD,59268810,2126249,0.084495,Health Care,248123,USD,,,,,,,,,,
AvalonBay Communities Inc.,AVB,05348410,2131179,0.083339,Real Estate,1499065,USD,,,,,,,,,,
Republic Services Inc.,RSG,76075910,2262530,0.081890,Industrials,2256082,USD,,,,,,,,,,
Coterra Energy Inc.,CTRA,12709710,2162340,0.081756,Energy,8719621,USD,,,,,,,,,,
Verisk Analytics Inc,VRSK,92345Y10,B4P9W92,0.081406,Industrials,1731850,USD,,,,,,,,,,
Cerner Corporation,CERN,15678210,2185284,0.081170,Health Care,3172571,USD,,,,,,,,,,
AMETEK Inc.,AME,03110010,2089212,0.080897,Industrials,2482240,USD,,,,,,,,,,
SVB Financial Group,SIVB,78486Q10,2808053,0.080557,Financials,629243,USD,,,,,,,,,,
Aptiv PLC,APTV,G6095L10,B783TY6,0.079965,Consumer Discretionary,2904326,USD,,,,,,,,,,
CBRE Group Inc. Class A,CBRE,12504L10,B6WVMH3,0.079918,Real Estate,3604818,USD,,,,,,,,,,
First Republic Bank,FRC,33616C10,B4WHY15,0.079916,Financials,1928517,USD,,,,,,,,,,
DexCom Inc.,DXCM,25213110,B0796X4,0.078862,Health Care,1038517,USD,,,,,,,,,,
American Water Works Company Inc.,AWK,03042010,B2R3PV1,0.078479,Utilities,1948832,USD,,,,,,,,,,
Southwest Airlines Co.,LUV,84474110,2831543,0.077348,Industrials,6352047,USD,,,,,,,,,,
Tyson Foods Inc. Class A,TSN,90249410,2909730,0.076883,Consumer Staples,3165379,USD,,,,,,,,,,
Fifth Third Bancorp,FITB,31677310,2336747,0.076797,Financials,7350659,USD,,,,,,,,,,
Corning Inc,GLW,21935010,2224701,0.076718,Information Technology,8049817,USD,,,,,,,,,,
Kraft Heinz Company,KHC,50075410,BYRY499,0.076389,Consumer Staples,7615343,USD,,,,,,,,,,
Edison International,EIX,28102010,2829515,0.076146,Utilities,4076498,USD,,,,,,,,,,
Delta Air Lines Inc.,DAL,24736170,B1W9D46,0.075903,Industrials,6870062,USD,,,,,,,,,,
Keysight Technologies Inc,KEYS,49338L10,BQZJ0Q9,0.075608,Information Technology,1978012,USD,,,,,,,,,,
Equity Residential,EQR,29476L10,2319157,0.075586,Real Estate,3658108,USD,,,,,,,,,,
State Street Corporation,STT,85747710,2842040,0.075413,Financials,3925808,USD,,,,,,,,,,
DTE Energy Company,DTE,23333110,2280220,0.074978,Utilities,2080365,USD,,,,,,,,,,
Willis Towers Watson Public Limited Company,WTW,G9662910,BDB6Q21,0.074057,Financials,1315074,USD,,,,,,,,,,
Zimmer Biomet Holdings Inc.,ZBH,98956P10,2783815,0.073182,Health Care,2241591,USD,,,,,,,,,,
Diamondback Energy Inc.,FANG,25278X10,B7Y8YR3,0.072404,Energy,1827304,USD,,,,,,,,,,
FirstEnergy Corp.,FE,33793210,2100920,0.072026,Utilities,6144428,USD,,,,,,,,,,
Ameren Corporation,AEE,02360810,2050832,0.071744,Utilities,2765541,USD,,,,,,,,,,
Equifax Inc.,EFX,29442910,2319146,0.071556,Industrials,1307612,USD,,,,,,,,,,
Old Dominion Freight Line Inc.,ODFL,67958010,2656423,0.071100,Industrials,1006879,USD,,,,,,,,,,
Copart Inc.,CPRT,21720410,2208073,0.071040,Industrials,2294667,USD,,,,,,,,,,
Entergy Corporation,ETR,29364G10,2317087,0.069965,Utilities,2156832,USD,,,,,,,,,,
Enphase Energy Inc.,ENPH,29355A10,B65SQW4,0.069925,Information Technology,1445408,USD,,,,,,,,,,
Alexandria Real Estate Equities Inc.,ARE,01527110,2009210,0.069307,Real Estate,1568445,USD,,,,,,,,,,
Hartford Financial Services Group Inc.,HIG,41651510,2476193,0.069038,Financials,3608664,USD,,,,,,,,,,
Rockwell Automation Inc.,ROK,77390310,2754060,0.069010,Industrials,1245623,USD,,,,,,,,,,
D.R. Horton Inc.,DHI,23331A10,2250687,0.068986,Consumer Discretionary,3499048,USD,,,,,,,,,,
AmerisourceBergen Corporation,ABC,03073E10,2795393,0.068411,Health Care,1622697,USD,,,,,,,,,,
Marathon Oil Corporation,MRO,56584910,2910970,0.068144,Energy,8464896,USD,,,,,,,,,,
Ball Corporation,BALL,05849810,2073022,0.068101,Materials,3507103,USD,,,,,,,,,,
Laboratory Corporation of America Holdings,LH,50540R40,2586122,0.067914,Health Care,1003311,USD,,,,,,,,,,
Extra Space Storage Inc.,EXR,30225T10,B02HWR9,0.067911,Real Estate,1436820,USD,,,,,,,,,,
Arista Networks Inc.,ANET,04041310,BN33VM5,0.067708,Information Technology,2412666,USD,,,,,,,,,,
STERIS Plc,STE,G8473T10,BFY8C75,0.067362,Health Care,1079018,USD,,,,,,,,,,
PPL Corporation,PPL,69351T10,2680905,0.066753,Utilities,8157705,USD,,,,,,,,,,
McCormick & Company Incorporated,MKC,57978020,2550161,0.066556,Consumer Staples,2674672,USD,,,,,,,,,,
Northern Trust Corporation,NTRS,66585910,2648668,0.066438,Financials,2237338,USD,,,,,,,,,,
CDW Corp.,CDW,12514G10,BBM5MD6,0.065745,Information Technology,1459064,USD,,,,,,,,,,
West Pharmaceutical Services Inc.,WST,95530610,2950482,0.065615,Health Care,793830,USD,,,,,,,,,,
Ventas Inc.,VTR,92276F10,2927925,0.065502,Real Estate,4293484,USD,,,,,,,,,,
Match Group Inc.,MTCH,57667L10,BK80XH9,0.064161,Communication Services,3044565,USD,,,,,,,,,,
ANSYS Inc.,ANSS,03662Q10,2045623,0.064002,Information Technology,935064,USD,,,,,,,,,,
Church & Dwight Co. Inc.,CHD,17134010,2195841,0.063784,Consumer Staples,2624609,USD,,,,,,,,,,
Mosaic Company,MOS,61945C10,B3NPHP6,0.063560,Materials,3983853,USD,,,,,,,,,,
Vulcan Materials Company,VMC,92916010,2931205,0.063330,Materials,1424632,USD,,,,,,,,,,
Fortive Corp.,FTV,34959J10,BYT3MK1,0.063092,Industrials,3847498,USD,,,,,,,,,,
Gartner Inc.,IT,36665110,2372763,0.061987,Information Technology,893393,USD,,,,,,,,,,
Tractor Supply Company,TSCO,89235610,2900335,0.061754,Consumer Discretionary,1227626,USD,,,,,,,,,,
W.W. Grainger Inc.,GWW,38480210,2380863,0.060736,Industrials,470128,USD,,,,,,,,,,
CF Industries Holdings Inc.,CF,12526910,B0G4K50,0.060564,Materials,2314323,USD,,,,,,,,,,
Martin Marietta Materials Inc.,MLM,57328410,2572079,0.060550,Materials,669854,USD,,,,,,,,,,
Mid-America Apartment Communities Inc.,MAA,59522J10,2589132,0.060400,Real Estate,1236977,USD,,,,,,,,,,
Lennar Corporation Class A,LEN,52605710,2511920,0.060142,Consumer Discretionary,2816584,USD,,,,,,,,,,
Ulta Beauty Inc,ULTA,90384S30,B28TS42,0.060132,Consumer Discretionary,587950,USD,,,,,,,,,,
Regions Financial Corporation,RF,7591EP10,B01R311,0.059925,Financials,10247834,USD,,,,,,,,,,
United Rentals Inc.,URI,91136310,2134781,0.059848,Industrials,776483,USD,,,,,,,,,,
CMS Energy Corporation,CMS,12589610,2219224,0.059779,Utilities,3119875,USD,,,,,,,,,,
Constellation Energy Corporation,CEG,21037T10,BMH4FS1,0.059155,Utilities,3499476,USD,,,,,,,,,,
Align Technology Inc.,ALGN,01625510,2679204,0.058660,Health Care,788783,USD,,,,,,,,,,
CenterPoint Energy Inc.,CNP,15189T10,2440637,0.058546,Utilities,6765422,USD,,,,,,,,,,
Amcor PLC,AMCR,G0250X10,BJ1F307,0.058345,Materials,16459409,USD,,,,,,,,,,
Huntington Bancshares Incorporated,HBAN,44615010,2445966,0.058123,Financials,15553671,USD,,,,,,,,,,
Citizens Financial Group Inc.,CFG,17461010,BQRX1X3,0.058117,Financials,5329368,USD,,,,,,,,,,
Duke Realty Corporation,DRE,26441150,2284084,0.057290,Real Estate,4103888,USD,,,,,,,,,,
Hewlett Packard Enterprise Co.,HPE,42824C10,BYVYWS0,0.057265,Information Technology,14024241,USD,,,,,,,,,,
Expedia Group Inc.,EXPE,30212P30,B748CK2,0.057075,Consumer Discretionary,1618887,USD,,,,,,,,,,
Waters Corporation,WAT,94184810,2937689,0.057029,Health Care,658838,USD,,,,,,,,,,
Paramount Global Class B,PARA,92556H20,BKTNTR9,0.057023,Communication Services,6504077,USD,,,,,,,,,,
FLEETCOR Technologies Inc.,FLT,33904110,B4R28B3,0.056796,Information Technology,873206,USD,,,,,,,,,,
Take-Two Interactive Software Inc.,TTWO,87405410,2122117,0.056784,Communication Services,1702198,USD,,,,,,,,,,
Genuine Parts Company,GPC,37246010,2367480,0.056606,Consumer Discretionary,1537708,USD,,,,,,,,,,
Stanley Black & Decker Inc.,SWK,85450210,B3Q2FJ4,0.056134,Industrials,1740324,USD,,,,,,,,,,
Hologic Inc.,HOLX,43644010,2433530,0.056005,Health Care,2716512,USD,,,,,,,,,,
Ingersoll Rand Inc.,IR,45687V10,BL5GZ82,0.055716,Industrials,4349415,USD,,,,,,,,,,
Dover Corporation,DOV,26000310,2278407,0.055638,Industrials,1545258,USD,,,,,,,,,,
Western Digital Corporation,WDC,95810210,2954699,0.055365,Information Technology,3371885,USD,,,,,,,,,,
Cincinnati Financial Corporation,CINF,17206210,2196888,0.055331,Financials,1609304,USD,,,,,,,,,,
International Paper Company,IP,46014610,2465254,0.055282,Materials,4196755,USD,,,,,,,,,,
KeyCorp,KEY,49326710,2490911,0.053951,Financials,10008994,USD,,,,,,,,,,
PerkinElmer Inc.,PKI,71404610,2305844,0.053891,Health Care,1358057,USD,,,,,,,,,,
Expeditors International of Washington Inc.,EXPD,30213010,2325507,0.053641,Industrials,1823504,USD,,,,,,,,,,
Essex Property Trust Inc.,ESS,29717810,2316619,0.053489,Real Estate,698171,USD,,,,,,,,,,
Synchrony Financial,SYF,87165B10,BP96PS6,0.053474,Financials,5617304,USD,,,,,,,,,,
EPAM Systems Inc.,EPAM,29414B10,B44Z3T8,0.053312,Information Technology,610230,USD,,,,,,,,,,
Monolithic Power Systems Inc.,MPWR,60983910,B01Z7J1,0.053275,Information Technology,466906,USD,,,,,,,,,,
Catalent Inc,CTLT,14880610,BP96PQ4,0.052729,Health Care,1929923,USD,,,,,,,,,,
Teledyne Technologies Incorporated,TDY,87936010,2503477,0.052719,Information Technology,501804,USD,,,,,,,,,,
Clorox Company,CLX,18905410,2204026,0.052236,Consumer Staples,1318595,USD,,,,,,,,,,
Jacobs Engineering Group Inc.,J,46981410,2469052,0.052168,Industrials,1398143,USD,,,,,,,,,,
Best Buy Co. Inc.,BBY,08651610,2094670,0.051790,Consumer Discretionary,2332636,USD,,,,,,,,,,
Raymond James Financial Inc.,RJF,75473010,2718992,0.051787,Financials,1990855,USD,,,,,,,,,,
Zebra Technologies Corporation Class A,ZBRA,98920710,2989356,0.051582,Information Technology,573353,USD,,,,,,,,,,
Kellogg Company,K,48783610,2486813,0.051565,Consumer Staples,2726989,USD,,,,,,,,,,
Molina Healthcare Inc.,MOH,60855R10,2212706,0.051062,Health Care,631074,USD,,,,,,,,,,
Principal Financial Group Inc.,PFG,74251V10,2803014,0.050987,Financials,2617764,USD,,,,,,,,,,
Nasdaq Inc.,NDAQ,63110310,2965107,0.050950,Financials,1247523,USD,,,,,,,,,,
Skyworks Solutions Inc.,SWKS,83088M10,2961053,0.050158,Information Technology,1773131,USD,,,,,,,,,,
Quanta Services Inc.,PWR,74762E10,2150204,0.050124,Industrials,1535573,USD,,,,,,,,,,
Seagate Technology Holdings PLC,STX,G7997R10,BKVD2N4,0.050037,Information Technology,2156936,USD,,,,,,,,,,
Westinghouse Air Brake Technologies Corporation,WAB,92974010,2955733,0.049854,Industrials,2030179,USD,,,,,,,,,,
Teradyne Inc.,TER,88077010,2884183,0.049780,Information Technology,1753047,USD,,,,,,,,,,
Celanese Corporation,CE,15087010,B05MZT4,0.049339,Materials,1170697,USD,,,,,,,,,,
Cooper Companies Inc.,COO,21664840,2222631,0.049163,Health Care,528603,USD,,,,,,,,,,
Quest Diagnostics Incorporated,DGX,74834L10,2702791,0.049147,Health Care,1282213,USD,,,,,,,,,,
Trimble Inc.,TRMB,89623910,2903958,0.049066,Information Technology,2700744,USD,,,,,,,,,,
VeriSign Inc.,VRSN,92343E10,2142922,0.048824,Information Technology,1044710,USD,,,,,,,,,,
Broadridge Financial Solutions Inc.,BR,11133T10,B1VP7R6,0.048714,Information Technology,1246376,USD,,,,,,,,,,
APA Corp.,APA,03743Q10,BNNF1C1,0.048442,Energy,3905348,USD,,,,,,,,,,
Akamai Technologies Inc.,AKAM,00971T10,2507457,0.047728,Information Technology,1748606,USD,,,,,,,,,,
Cardinal Health Inc.,CAH,14149Y10,2175672,0.047301,Health Care,3012798,USD,,,,,,,,,,
Darden Restaurants Inc.,DRI,23719410,2289874,0.047064,Consumer Discretionary,1390428,USD,,,,,,,,,,
CarMax Inc.,KMX,14313010,2983563,0.046940,Consumer Discretionary,1749390,USD,,,,,,,,,,
Pool Corporation,POOL,73278L10,2781585,0.046711,Consumer Discretionary,430628,USD,,,,,,,,,,
Evergy Inc.,EVRG,30034W10,BFMXGR0,0.046237,Utilities,2456469,USD,,,,,,,,,,
Atmos Energy Corporation,ATO,04956010,2315359,0.046101,Utilities,1459402,USD,,,,,,,,,,
FMC Corporation,FMC,30249130,2328603,0.046080,Materials,1382918,USD,,,,,,,,,,
Conagra Brands Inc.,CAG,20588710,2215460,0.046020,Consumer Staples,5156757,USD,,,,,,,,,,
V.F. Corporation,VFC,91820410,2928683,0.045924,Consumer Discretionary,3472801,USD,,,,,,,,,,
Healthpeak Properties Inc.,PEAK,42250P10,BJBLRK3,0.045918,Real Estate,5785588,USD,,,,,,,,,,
NetApp Inc.,NTAP,64110D10,2630643,0.045913,Information Technology,2407044,USD,,,,,,,,,,
Alliant Energy Corp,LNT,01880210,2973821,0.045400,Utilities,2686191,USD,,,,,,,,,,
Boston Properties Inc.,BXP,10112110,2019479,0.045248,Real Estate,1524875,USD,,,,,,,,,,
Garmin Ltd.,GRMN,H2906T10,B3Z5T14,0.044825,Consumer Discretionary,1616281,USD,,,,,,,,,,
Omnicom Group Inc,OMC,68191910,2279303,0.044508,Communication Services,2251932,USD,,,,,,,,,,
Generac Holdings Inc.,GNRC,36873610,B6197Q2,0.044228,Industrials,677533,USD,,,,,,,,,,
Xylem Inc.,XYL,98419M10,B3P2CN8,0.043934,Industrials,1934467,USD,,,,,,,,,,
Iron Mountain Inc.,IRM,46284V10,BVFTF03,0.043858,Real Estate,3119336,USD,,,,,,,,,,
Packaging Corporation of America,PKG,69515610,2504566,0.043155,Materials,1019640,USD,,,,,,,,,,
United Airlines Holdings Inc.,UAL,91004710,B4QG225,0.042985,Industrials,3448129,USD,,,,,,,,,,
W. R. Berkley Corporation,WRB,08442310,2093644,0.042834,Financials,2257795,USD,,,,,,,,,,
Camden Property Trust,CPT,13313110,2166320,0.042664,Real Estate,1111105,USD,,,,,,,,,,
AES Corporation,AES,00130H10,2002479,0.042589,Utilities,7154171,USD,,,,,,,,,,
J.B. Hunt Transport Services Inc.,JBHT,44565810,2445416,0.042320,Industrials,903077,USD,,,,,,,,,,
Leidos Holdings Inc.,LDOS,52532710,BDV82B8,0.042315,Industrials,1508999,USD,,,,,,,,,,
Viatris Inc.,VTRS,92556V10,BMWS3X9,0.042182,Health Care,12979545,USD,,,,,,,,,,
NortonLifeLock Inc.,NLOK,66877110,BJN4XN5,0.042043,Information Technology,6239910,USD,,,,,,,,,,
Host Hotels & Resorts Inc.,HST,44107P10,2567503,0.042032,Real Estate,7629215,USD,,,,,,,,,,
Tyler Technologies Inc.,TYL,90225210,2909644,0.041747,Information Technology,439052,USD,,,,,,,,,,
IDEX Corporation,IEX,45167R10,2456612,0.041746,Industrials,815792,USD,,,,,,,,,,
FactSet Research Systems Inc.,FDS,30307510,2329770,0.041697,Financials,406740,USD,,,,,,,,,,
Kimco Realty Corporation,KIM,49446R10,2491594,0.041590,Real Estate,6645038,USD,,,,,,,,,,
Incyte Corporation,INCY,45337C10,2471950,0.041569,Health Care,2020777,USD,,,,,,,,,,
UDR Inc.,UDR,90265310,2727910,0.041501,Real Estate,3222703,USD,,,,,,,,,,
NVR Inc.,NVR,62944T10,2637785,0.041447,Consumer Discretionary,35211,USD,,,,,,,,,,
Bio-Techne Corporation,TECH,09073M10,BSHZ3Q0,0.041286,Health Care,417645,USD,,,,,,,,,,
Textron Inc.,TXT,88320310,2885937,0.041256,Industrials,2369677,USD,,,,,,,,,,
C.H. Robinson Worldwide Inc.,CHRW,12541W20,2116228,0.041194,Industrials,1414680,USD,,,,,,,,,,
SolarEdge Technologies Inc.,SEDG,83417M10,BWC52Q6,0.040902,Information Technology,567320,USD,,,,,,,,,,
Avery Dennison Corporation,AVY,05361110,2066408,0.040662,Materials,889944,USD,,,,,,,,,,
Eastman Chemical Company,EMN,27743210,2298386,0.040614,Materials,1390108,USD,,,,,,,,,,
LKQ Corporation,LKQ,50188920,2971029,0.040151,Consumer Discretionary,2913976,USD,,,,,,,,,,
Jack Henry & Associates Inc.,JKHY,42628110,2469193,0.040019,Information Technology,792475,USD,,,,,,,,,,
Masco Corporation,MAS,57459910,2570200,0.039952,Industrials,2585297,USD,,,,,,,,,,
Hormel Foods Corporation,HRL,44045210,2437264,0.039804,Consumer Staples,3037980,USD,,,,,,,,,,
J.M. Smucker Company,SJM,83269640,2951452,0.039554,Consumer Staples,1163332,USD,,,,,,,,,,
Brown & Brown Inc.,BRO,11523610,2692687,0.039448,Financials,2509139,USD,,,,,,,,,,
Paycom Software Inc.,PAYC,70432V10,BL95MY0,0.039330,Information Technology,515983,USD,,,,,,,,,,
Howmet Aerospace Inc.,HWM,44320110,BKLJ8V2,0.038821,Industrials,4145200,USD,,,,,,,,,,
Teleflex Incorporated,TFX,87936910,2881407,0.038760,Health Care,501772,USD,,,,,,,,,,
Domino's Pizza Inc.,DPZ,25754A20,B01SD70,0.038114,Consumer Discretionary,396084,USD,,,,,,,,,,
MGM Resorts International,MGM,55295310,2547419,0.037871,Consumer Discretionary,4058964,USD,,,,,,,,,,
Signature Bank,SBNY,82669G10,B00JQL9,0.037216,Financials,675976,USD,,,,,,,,,,
Loews Corporation,L,54042410,2523022,0.037029,Financials,2112405,USD,,,,,,,,,,
Live Nation Entertainment Inc.,LYV,53803410,B0T7YX2,0.036589,Communication Services,1455683,USD,,,,,,,,,,
WestRock Company,WRK,96145D10,BYR0914,0.036567,Materials,2850988,USD,,,,,,,,,,
Royal Caribbean Group,RCL,V7780T10,2754907,0.036310,Consumer Discretionary,2416452,USD,,,,,,,,,,
Citrix Systems Inc.,CTXS,17737610,2182553,0.036166,Information Technology,1330824,USD,,,,,,,,,,
Interpublic Group of Companies Inc.,IPG,46069010,2466321,0.036158,Communication Services,4225929,USD,,,,,,,,,,
NiSource Inc,NI,65473P10,2645409,0.035680,Utilities,4180645,USD,,,,,,,,,,
Henry Schein Inc.,HSIC,80640710,2416962,0.034750,Health Care,1499900,USD,,,,,,,,,,
Advance Auto Parts Inc.,AAP,00751Y10,2822019,0.034702,Consumer Discretionary,671783,USD,,,,,,,,,,
Brown-Forman Corporation Class B,BF.B,11563720,2146838,0.034602,Consumer Staples,1961248,USD,,,,,,,,,,
PTC Inc.,PTC,69370C10,B95N910,0.034506,Information Technology,1136944,USD,,,,,,,,,,
ABIOMED Inc.,ABMD,00365410,2003698,0.034402,Health Care,487160,USD,,,,,,,,,,
Snap-on Incorporated,SNA,83303410,2818740,0.034373,Industrials,579317,USD,,,,,,,,,,
Qorvo Inc.,QRVO,74736K10,BR9YYP4,0.034294,Information Technology,1168280,USD,,,,,,,,,,
Las Vegas Sands Corp.,LVS,51783410,B02T2J7,0.034254,Consumer Discretionary,3704593,USD,,,,,,,,,,
Nordson Corporation,NDSN,65566310,2641838,0.034092,Industrials,584696,USD,,,,,,,,,,
Cboe Global Markets Inc,CBOE,12503M10,B5834C5,0.033890,Financials,1144828,USD,,,,,,,,,,
Charles River Laboratories International Inc.,CRL,15986410,2604336,0.033596,Health Care,539311,USD,,,,,,,,,,
NRG Energy Inc.,NRG,62937750,2212922,0.033444,Utilities,2645966,USD,,,,,,,,,,
PulteGroup Inc.,PHM,74586710,2708841,0.033135,Consumer Discretionary,2722368,USD,,,,,,,,,,
Lumen Technologies Inc.,LUMN,55024110,BMDH249,0.032976,Communication Services,9907680,USD,,,,,,,,,,
Bio-Rad Laboratories Inc. Class A,BIO,09057220,2098508,0.032622,Health Care,230749,USD,,,,,,,,,,
Bath & Body Works Inc.,BBWI,07083010,BNNTGJ5,0.032418,Consumer Discretionary,2816917,USD,,,,,,,,,,
American Airlines Group Inc.,AAL,02376R10,BCV7KT2,0.032387,Industrials,6942379,USD,,,,,,,,,,
Everest Re Group Ltd.,RE,G3223R10,2556868,0.032332,Financials,427937,USD,,,,,,,,,,
Fox Corporation Class A,FOXA,35137L10,BJJMGL2,0.032211,Communication Services,3446382,USD,,,,,,,,,,
Hasbro Inc.,HAS,41805610,2414580,0.032142,Consumer Discretionary,1381345,USD,,,,,,,,,,
Caesars Entertainment Inc,CZR,12769G10,BMWWGB0,0.031804,Consumer Discretionary,2303701,USD,,,,,,,,,,
Comerica Incorporated,CMA,20034010,2212870,0.031528,Financials,1427178,USD,,,,,,,,,,
Whirlpool Corporation,WHR,96332010,2960384,0.031303,Consumer Discretionary,646415,USD,,,,,,,,,,
MarketAxess Holdings Inc.,MKTX,57060D10,B03Q9D0,0.031137,Financials,407866,USD,,,,,,,,,,
Carnival Corporation,CCL,14365830,2523044,0.030639,Consumer Discretionary,8571337,USD,,,,,,,,,,
Molson Coors Beverage Company Class B,TAP,60871R20,B067BM3,0.030042,Consumer Staples,2035950,USD,,,,,,,,,,
